id_mo,year,mo_year,calc,circulation,circulation_source,unique_users,unique_users_source,reach_nat,reach_nat_source,reach_reg,reach_reg_source,market_share,market_share_source,comments
190990,2021-12-01,1909902021,1,57505,1502021,99,99,2.1,2002021,46.5,2002021,2.1,1502021,Mo-Sa
192990,2021-12-01,1929902021,0,99,99,99,99,2.3,2002021,49.0,2002021,99.0,99,"VN: Mo-Sa, NEUE: Di-So"
114502,2021-12-01,1145022021,1,20800,9702021,99,99,99.0,99,99.0,99,0.8,9702021,"Mo-Sa, https://www.wienerzeitung.at/_em_daten/_wzo/2021/03/01/210301_1245_wz_tarif_folder_2021.pdf "
114503,2021-12-01,1145032021,2,99,9802021,99,99,99.0,99,99.0,99,99.0,9802021,Mo-Sa
103680,2022-12-01,1036802022,1,483101,1502022,99,99,8.2,2002022,99.0,99,19.0,1502022,Mo-Fr
103684,2022-12-01,1036842022,2,128422,1502022,99,99,99.0,99,10.8,2002022,5.0,1502022,Mo-Fr
103683,2022-12-01,1036832022,2,86172,1502022,99,99,99.0,99,8.7,2002022,3.4,1502022,Mo-Fr
103681,2022-12-01,1036812022,2,268536,1502022,99,99,99.0,99,18.1,2002022,10.6,1502022,Mo-Fr
170150,2022-12-01,1701502022,1,287422,1502022,99,99,8.6,2002022,99.0,99,11.3,1502022,Mo-Fr
130152,2022-12-01,1301522022,2,92982,1502022,99,99,2.6,2002022,39.1,2002022,3.7,1502022,Mo-So
170152,2022-12-01,1701522022,2,194442,1502022,99,99,6.0,2002022,38.2,2002022,7.6,1502022,Mo-So
104830,2022-12-01,1048302022,1,687590,1502022,99,99,22.2,2002022,99.0,99,27.0,1502022,Mo-So
120160,2022-12-01,1201602022,2,37605,1502022,99,99,99.0,99,35.6,2002022,1.5,1502022,Mo-So
130180,2022-12-01,1301802022,2,69245,1502022,99,99,99.0,99,29.1,2002022,2.7,1502022,Mo-So
140180,2022-12-01,1401802022,2,143032,1502022,99,99,99.0,99,23.1,2002022,5.6,1502022,Mo-So
150180,2022-12-01,1501802022,2,120635,1502022,99,99,99.0,99,20.1,2002022,4.7,1502022,Mo-So
160200,2022-12-01,1602002022,2,58061,1502022,99,99,99.0,99,24.3,2002022,2.3,1502022,Mo-So
170220,2022-12-01,1702202022,2,118949,1502022,99,99,99.0,99,25.9,2002022,4.7,1502022,Mo-So
180200,2022-12-01,1802002022,2,45249,1502022,99,99,99.0,99,22.3,2002022,1.8,1502022,Mo-So
190200,2022-12-01,1902002022,2,3340,1502022,99,99,99.0,99,3.7,2002022,0.1,1502022,Mo-So
104831,2022-12-01,1048312022,2,91474,1502022,99,99,99.0,99,19.3,2002022,3.6,1502022,Mo-So
104850,2022-12-01,1048502022,1,138569,1502022,99,99,5.6,2002022,99.0,99,5.4,1502022,Mo-So
120180,2022-12-01,1201802022,2,9881,1502022,99,99,99.0,99,13.1,2002022,0.4,1502022,Mo-So
140210,2022-12-01,1402102022,2,52396,1502022,99,99,99.0,99,8.9,2002022,2.1,1502022,Mo-So
104851,2022-12-01,1048512022,2,55322,1502022,99,99,99.0,99,10.4,2002022,2.2,1502022,Mo-So
190470,2022-12-01,1904702022,1,13104,1502022,99,99,0.4,2002022,8.9,2002022,0.5,1502022,Di-So
150550,2022-12-01,1505502022,1,122634,1502022,99,99,4.3,2002022,23.1,2002022,4.8,1502022,Mo-Sa
108250,2022-12-01,1082502022,1,379649,1502022,99,99,3.3,2002022,99.0,99,14.9,1502022,Mo-Fr
158250,2022-12-01,1582502022,2,26499,1502022,99,99,99.0,99,3.2,2002022,1.0,1502022,Mo-Fr
108251,2022-12-01,1082512022,2,259713,1502022,99,99,99.0,99,7.2,2002022,10.2,1502022,Mo-Fr
108259,2022-12-01,1082592022,0,406621,1502022,99,99,6.1,2002022,99.0,99,16.0,1502022,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflage bezieht sich auf Mo-Fr "
158259,2022-12-01,1582592022,0,28754,1502022,99,99,99.0,99,4.9,2002022,1.1,1502022,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflage bezieht sich auf Mo-Fr "
108258,2022-12-01,1082582022,0,273310,1502022,99,99,99.0,99,13.4,2002022,10.7,1502022,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflage bezieht sich auf Mo-Fr "
108240,2022-12-01,1082402022,1,29644,1502022,99,99,3.7,2002022,99.0,99,1.2,1502022,Mo-Sa 
158240,2022-12-01,1582402022,2,2379,1502022,99,99,99.0,99,2.1,2002022,0.1,1502022,Mo-Sa
108241,2022-12-01,1082412022,2,15477,1502022,99,99,99.0,99,9.0,2002022,0.6,1502022,Mo-Sa
150531,2022-12-01,1505312022,1,21000,9702022,99,99,99.0,99,99.0,99,0.8,9702022,"Mo-Sa, https://www.wdf.at/wp-content/uploads/2022/02/0221-OOeVB.pdf"
109180,2022-12-01,1091802022,1,75056,1502022,99,99,3.3,2002022,99.0,99,3.0,1502022,Mo-So
109181,2022-12-01,1091812022,2,99,9802022,99,99,99.0,99,5.1,2002022,99.0,9802022,Mo-So
160629,2022-12-01,1606292022,1,79677,1502022,99,99,3.1,2002022,99.0,99,3.1,1502022,Mo-Sa
160620,2022-12-01,1606202022,2,52165,1502022,99,99,99.0,99,30.7,2002022,2.1,1502022,"Mo-Sa, Verkaufte Auflage"
109850,2022-12-01,1098502022,1,64509,1502022,99,99,6.8,2002022,99.0,99,2.5,1502022,Mo-Sa
119850,2022-12-01,1198502022,2,99,9802022,99,99,99.0,99,11.2,2002022,99.0,9802022,Mo-Sa
119860,2022-12-01,1198602022,0,99,9802022,99,99,99.0,9802022,99.0,99,99.0,9802023,Mo-Fr
180870,2022-12-01,1808702022,1,82992,1502022,99,99,3.1,2002022,34.3,2002022,3.3,1502022,Mo-So
181870,2022-12-01,1818702022,1,7479,1502022,99,99,99.0,9802022,99.0,9802022,0.3,1502022,Mo-Fr
182870,2022-12-01,1828702022,0,99,99,99,99,3.3,2002022,36.0,2002022,99.0,99,"TT: Mo-So, TT Kompakt: Mo-Fr"
190990,2022-12-01,1909902022,1,55376,1502022,99,99,2.0,2002022,43.1,2002022,2.2,1502022,Mo-Sa
192990,2022-12-01,1929902022,0,0,99,99,99,2.2,2002022,46.1,2002022,99.0,99,"VN: Mo-Sa, NEUE: Di-So"
114502,2022-12-01,1145022022,1,18355,9702022,99,99,99.0,99,99.0,99,0.7,9702022,"Mo-Sa, https://www.wienerzeitung.at/h/die-wiener-zeitung-und-die-fakten "
114503,2022-12-01,1145032022,2,99,9802022,99,99,99.0,99,99.0,99,99.0,9802022,Mo-Sa
103680,2023-12-01,1036802023,1,455857,1502023,99,99,8.8,2002023,99.0,99,19.1,1502023,Mo-Fr
103684,2023-12-01,1036842023,2,122804,1502023,99,99,99.0,99,12.5,2002023,5.1,1502023,Mo-Fr
103683,2023-12-01,1036832023,2,80980,1502023,99,99,99.0,99,9.3,2002023,3.4,1502023,Mo-Fr
103681,2023-12-01,1036812023,2,252073,1502023,99,99,99.0,99,17.1,2002023,10.6,1502023,Mo-Fr
170150,2023-12-01,1701502023,1,274911,1502023,99,99,7.6,2002023,99.0,99,11.5,1502023,Mo-Fr
130152,2023-12-01,1301522023,2,89215,1502023,99,99,2.3,2002023,34.9,2002023,3.7,1502023,Mo-So
170152,2023-12-01,1701522023,2,185700,1502023,99,99,5.3,2002023,33.1,2002023,7.8,1502023,Mo-So
104830,2023-12-01,1048302023,1,642404,1502023,99,99,22.3,2002023,99.0,99,26.9,1502023,Mo-So
120160,2023-12-01,1201602023,2,35341,1502023,99,99,99.0,99,35.5,2002023,1.5,1502023,Mo-So
130180,2023-12-01,1301802023,2,64718,1502023,99,99,99.0,99,31.4,2002023,2.7,1502023,Mo-So
140180,2023-12-01,1401802023,2,133436,1502023,99,99,99.0,99,23.8,2002023,5.6,1502023,Mo-So
150180,2023-12-01,1501802023,2,111090,1502023,99,99,99.0,99,21.8,2002023,4.7,1502023,Mo-So
160200,2023-12-01,1602002023,2,54344,1502023,99,99,99.0,99,26.3,2002023,2.3,1502023,Mo-So
170220,2023-12-01,1702202023,2,111845,1502023,99,99,99.0,99,26.6,2002023,4.7,1502023,Mo-So
180200,2023-12-01,1802002023,2,41753,1502023,99,99,99.0,99,19.9,2002023,1.8,1502023,Mo-So
190200,2023-12-01,1902002023,2,3025,1502023,99,99,99.0,99,5.6,2002023,0.1,1502023,Mo-So
104831,2023-12-01,1048312023,2,86854,1502023,99,99,99.0,99,17.0,2002023,3.6,1502023,Mo-So
104850,2023-12-01,1048502023,1,132981,1502023,99,99,5.5,2002023,99.0,99,5.6,1502023,Mo-So
120180,2023-12-01,1201802023,2,9582,1502023,99,99,99.0,99,10.6,2002023,0.4,1502023,Mo-So
140210,2023-12-01,1402102023,2,50341,1502023,99,99,99.0,99,9.4,2002023,2.1,1502023,Mo-So
104851,2023-12-01,1048512023,2,53019,1502023,99,99,99.0,99,9.3,2002023,2.2,1502023,Mo-So
190470,2023-12-01,1904702023,1,11536,1502023,99,99,0.7,2002023,11.6,2002023,0.5,1502023,Di-So
150550,2023-12-01,1505502023,1,116527,1502023,99,99,4.7,2002023,24.5,2002023,4.9,1502023,Mo-Sa
108250,2023-12-01,1082502023,1,343421,1502023,99,99,4.7,2002023,99.0,99,14.4,1502023,Mo-Fr
158250,2023-12-01,1582502023,2,25204,1502023,99,99,99.0,99,4.1,2002023,1.1,1502023,Mo-Fr
108251,2023-12-01,1082512023,2,223470,1502023,99,99,99.0,99,9.1,2002023,9.4,1502023,Mo-Fr
108259,2023-12-01,1082592023,0,369539,1502023,99,99,7.4,2002023,99.0,99,15.5,1502023,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflagenberechnung (basierend auf ÖAW-Detailangaben) bezieht sich auf Mo-Fr "
300013,2004-12-01,3000132004,0,99,99,99,99,43.7,1102004,99.0,99,22.0,1102011,KA
158259,2023-12-01,1582592023,0,27233,1502023,99,99,99.0,99,6.2,2002023,1.1,1502023,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflagenberechnung (basierend auf ÖAW-Detailangaben) bezieht sich auf Mo-Fr "
108258,2023-12-01,1082582023,0,237344,1502023,99,99,99.0,99,14.4,2002023,9.9,1502023,"oe24: Mo-Fr, Österreich: Mo-Sa, Auflagenberechnung (basierend auf ÖAW-Detailangaben) bezieht sich auf Mo-Fr "
108240,2023-12-01,1082402023,1,29664,1502023,99,99,3.7,2002023,99.0,99,1.2,1502023,Mo-Sa 
158240,2023-12-01,1582402023,2,2131,1502023,99,99,99.0,99,2.6,2002023,0.1,1502023,Mo-Sa
108241,2023-12-01,1082412023,2,16837,1502023,99,99,99.0,99,7.8,2002023,0.7,1502023,Mo-Sa
150531,2023-12-01,1505312023,1,18000,9702023,99,99,99.0,99,99.0,99,0.8,9702023,"Mo-Sa, https://www.wienerzeitung.at/a/wie-das-land-ooe-eine-oevp-zeitung-mit-steuergeld-erhaelt "
109180,2023-12-01,1091802023,1,73957,1502023,99,99,3.5,2002023,99.0,99,3.1,1502023,Mo-So
109181,2023-12-01,1091812023,2,99,9802023,99,99,99.0,99,5.5,2002023,99.0,9802023,Mo-So
160629,2023-12-01,1606292023,1,77985,1502023,99,99,3.1,2002023,99.0,99,3.3,1502023,Mo-Sa
160620,2023-12-01,1606202023,2,51048,1502023,99,99,99.0,99,29.4,2002023,2.1,1502023,"Mo-Sa, Verkaufte Auflage"
109850,2023-12-01,1098502023,1,74756,1502023,99,99,6.6,2002023,99.0,99,3.1,1502023,Mo-Sa
119850,2023-12-01,1198502023,2,99,9802023,99,99,99.0,99,10.4,2002023,99.0,9802023,Mo-Sa
119860,2023-12-01,1198602023,0,99,9802023,99,99,99.0,99,99.0,99,99.0,9802023,Mo-Fr
180870,2023-12-01,1808702023,1,78455,1502023,99,99,3.3,2002023,34.8,2002023,3.3,1502023,Mo-So
181870,2023-12-01,1818702023,1,6855,1502023,99,99,99.0,9802023,99.0,9802023,0.3,1502023,Mo-Fr
182870,2023-12-01,1828702023,0,99,99,99,99,3.5,2002023,37.0,2002023,99.0,99,"TT: Mo-So, TT Kompakt: Mo-Fr"
190990,2023-12-01,1909902023,1,51580,1502023,99,99,2.0,2002023,40.7,2002023,2.2,1502023,Mo-Sa
192990,2023-12-01,1929902023,0,99,99,99,99,2.3,2002023,44.6,2002023,99.0,99,"VN: Mo-Sa, NEUE: Di-So"
300011,1991-12-01,3000111991,1,99,99,99,99,69.0,1702023,99.0,99,99.0,99,KA
300011,1992-12-01,3000111992,1,99,99,99,99,65.1,1702023,99.0,99,99.0,99,KA
300011,1993-12-01,3000111993,1,99,99,99,99,63.8,1702023,99.0,99,66.0,1102008,KA
300011,1994-12-01,3000111994,1,99,99,99,99,62.3,1702023,99.0,99,62.0,1102008,KA
300011,1995-12-01,3000111995,1,99,99,99,99,61.9,1702023,99.0,99,63.0,1102008,KA
300011,1996-12-01,3000111996,1,99,99,99,99,60.9,1702023,99.0,99,62.0,1102008,KA
300011,1997-12-01,3000111997,1,99,99,99,99,60.3,1702023,99.0,99,62.0,1102008,KA
300011,1998-12-01,3000111998,1,99,99,99,99,60.8,1702023,99.0,99,61.0,1102008,KA
300011,1999-12-01,3000111999,1,99,99,99,99,59.9,1702023,99.0,99,58.0,1102008,KA
300011,2000-12-01,3000112000,1,99,99,99,99,59.8,1702023,99.0,99,56.0,1102003,KA
300011,2001-12-01,3000112001,1,99,99,99,99,60.0,1102004,99.0,99,55.0,1102011,KA
300011,2002-12-01,3000112002,1,99,99,99,99,61.9,1102004,99.0,99,54.0,1102011,KA
300011,2003-12-01,3000112003,1,99,99,99,99,60.3,1102004,99.0,99,51.7,1102011,KA
300011,2004-12-01,3000112004,1,99,99,99,99,60.6,1102004,99.0,99,51.3,1102011,KA
300011,2005-12-01,3000112005,1,99,99,99,99,59.1,1202005,99.0,99,48.2,1102021,KA
300011,2006-12-01,3000112006,1,99,99,99,99,57.3,1102016,99.0,99,47.6,1102016,KA
300011,2007-12-01,3000112007,1,99,99,99,99,52.9,1202007,99.0,99,43.1,1102018,KA
300011,2008-12-01,3000112008,1,99,99,99,99,51.8,1202008,99.0,99,41.9,1102019,KA
300011,2009-12-01,3000112009,1,99,99,99,99,49.8,1102019,99.0,99,39.1,1102019,KA
300011,2010-12-01,3000112010,1,99,99,99,99,50.7,1102021,99.0,99,37.8,1102021,KA
300011,2011-12-01,3000112011,1,99,99,99,99,50.9,1102021,99.0,99,36.4,1102021,KA
300011,2012-12-01,3000112012,1,99,99,99,99,51.0,1102021,99.0,99,36.0,1102021,KA
300011,2013-12-01,3000112013,1,99,99,99,99,48.5,1102021,99.0,99,35.4,1102021,KA
300011,2014-12-01,3000112014,1,99,99,99,99,49.0,1102021,99.0,99,35.1,1102021,KA
300011,2015-12-01,3000112015,1,99,99,99,99,48.2,1102021,99.0,99,35.3,1102021,KA
300011,2016-12-01,3000112016,1,99,99,99,99,48.1,1102021,99.0,99,35.1,1102021,KA
300011,2017-12-01,3000112017,1,99,99,99,99,48.6,1102021,99.0,99,33.9,1102021,KA
300011,2018-12-01,3000112018,1,99,99,99,99,48.1,1102021,99.0,99,32.9,1102021,KA
300011,2019-12-01,3000112019,1,99,99,99,99,48.1,1102021,99.0,99,31.8,1102021,KA
300011,2020-12-01,3000112020,1,99,99,99,99,52.4,1102021,99.0,99,33.2,1102021,KA
300011,2021-12-01,3000112021,1,99,99,99,99,51.9,1102021,99.0,99,35.5,1102021,KA
300011,2022-12-01,3000112022,1,99,99,99,99,48.8,1702022,99.0,99,34.6,1702022,KA
300011,2023-12-01,3000112023,1,99,99,99,99,46.0,1702023,99.0,99,33.8,1702023,KA
300012,1991-12-01,3000121991,0,99,99,99,99,61.7,1702023,99.0,99,99.0,99,KA
300013,1992-12-01,3000131992,0,99,99,99,99,56.4,1702023,99.0,99,99.0,99,KA
300013,1993-12-01,3000131993,0,99,99,99,99,55.0,1702023,99.0,99,36.0,1102008,KA
300013,1994-12-01,3000131994,0,99,99,99,99,52.7,1702023,99.0,99,32.0,1102008,KA
300013,1995-12-01,3000131995,0,99,99,99,99,48.0,1702023,99.0,99,27.0,1102008,KA
300013,1996-12-01,3000131996,0,99,99,99,99,45.5,1702023,99.0,99,25.0,1102008,KA
300013,1997-12-01,3000131997,0,99,99,99,99,43.8,1702023,99.0,99,24.0,1102008,KA
300013,1998-12-01,3000131998,0,99,99,99,99,42.9,1702023,99.0,99,26.0,1102008,KA
300013,1999-12-01,3000131999,0,99,99,99,99,44.1,1702023,99.0,99,24.0,1102008,KA
300013,2000-12-01,3000132000,0,99,99,99,99,43.3,1702023,99.0,99,24.0,1102003,KA
300013,2001-12-01,3000132001,0,99,99,99,99,42.9,1102004,99.0,99,23.0,1102011,KA
300013,2002-12-01,3000132002,0,99,99,99,99,44.1,1102004,99.0,99,22.0,1102011,KA
300013,2003-12-01,3000132003,0,99,99,99,99,43.3,1102004,99.0,99,22.0,1102011,KA
300013,2005-12-01,3000132005,0,99,99,99,99,41.6,1202005,99.0,99,20.0,1102021,KA
300013,2006-12-01,3000132006,0,99,99,99,99,39.7,1102016,99.0,99,20.0,1102016,KA
300013,2007-12-01,3000132007,0,99,99,99,99,34.7,1202007,99.0,99,18.0,1102018,KA
300013,2008-12-01,3000132008,0,99,99,99,99,32.6,1202008,99.0,99,17.0,1102019,KA
300013,2009-12-01,3000132009,0,99,99,99,99,30.4,1102019,99.0,99,15.0,1102019,KA
300013,2010-12-01,3000132010,0,99,99,99,99,31.3,1102021,99.0,99,15.0,1102021,KA
300013,2011-12-01,3000132011,0,99,99,99,99,31.0,1102021,99.0,99,14.0,1102021,KA
300013,2012-12-01,3000132012,0,99,99,99,99,30.9,1102021,99.0,99,14.0,1102021,KA
300013,2013-12-01,3000132013,0,99,99,99,99,28.0,1102021,99.0,99,12.0,1102021,KA
300013,2014-12-01,3000132014,0,99,99,99,99,29.1,1102021,99.0,99,13.0,1102021,KA
300013,2015-12-01,3000132015,0,99,99,99,99,27.6,1102021,99.0,99,12.0,1102021,KA
300013,2016-12-01,3000132016,0,99,99,99,99,27.4,1102021,99.0,99,12.0,1102021,KA
300013,2017-12-01,3000132017,0,99,99,99,99,27.2,1102021,99.0,99,10.8,1102021,KA
300013,2018-12-01,3000132018,0,99,99,99,99,27.4,1102021,99.0,99,10.9,1102021,KA
300013,2019-12-01,3000132019,0,99,99,99,99,25.4,1102021,99.0,99,9.1,1102021,KA
300013,2020-12-01,3000132020,0,99,99,99,99,26.1,1102021,99.0,99,8.2,1102021,KA
300013,2021-12-01,3000132021,0,99,99,99,99,27.2,1102021,99.0,99,10.2,1102021,KA
300013,2022-12-01,3000132022,0,99,99,99,99,24.8,1702022,99.0,99,9.8,1702022,KA
300013,2023-12-01,3000132023,0,99,99,99,99,23.3,1702023,99.0,99,9.5,1702023,KA
300021,1991-12-01,3000211991,0,99,99,99,99,54.8,1702023,99.0,99,99.0,99,KA
300022,1992-12-01,3000221992,0,99,99,99,99,50.8,1702023,99.0,99,99.0,99,KA
300022,1993-12-01,3000221993,0,99,99,99,99,50.6,1702023,99.0,99,30.0,1102008,KA
300022,1994-12-01,3000221994,0,99,99,99,99,50.3,1702023,99.0,99,31.0,1102008,KA
300022,1995-12-01,3000221995,0,99,99,99,99,51.3,1702023,99.0,99,36.0,1102008,KA
300022,1996-12-01,3000221996,0,99,99,99,99,49.2,1702023,99.0,99,36.0,1102008,KA
300022,1997-12-01,3000221997,0,99,99,99,99,48.7,1702023,99.0,99,37.0,1102008,KA
300022,1998-12-01,3000221998,0,99,99,99,99,48.4,1702023,99.0,99,36.0,1102008,KA
300022,1999-12-01,3000221999,0,99,99,99,99,47.5,1702023,99.0,99,34.0,1102008,KA
300022,2000-12-01,3000222000,0,99,99,99,99,47.0,1702023,99.0,99,33.0,1102003,KA
300022,2001-12-01,3000222001,0,99,99,99,99,46.7,1702023,99.0,99,32.0,1102011,KA
300022,2002-12-01,3000222002,0,99,99,99,99,48.4,1702023,99.0,99,32.0,1102011,KA
300022,2003-12-01,3000222003,0,99,99,99,99,46.7,1702023,99.0,99,30.0,1102011,KA
300022,2004-12-01,3000222004,0,99,99,99,99,46.5,1702023,99.0,99,30.0,1102011,KA
300022,2005-12-01,3000222005,0,99,99,99,99,45.1,1702023,99.0,99,28.0,1102021,KA
300022,2006-12-01,3000222006,0,99,99,99,99,43.3,1702023,99.0,99,27.0,1102016,KA
300022,2007-12-01,3000222007,0,99,99,99,99,40.1,1702023,99.0,99,26.0,1102018,KA
300022,2008-12-01,3000222008,0,99,99,99,99,39.7,1702023,99.0,99,25.0,1102019,KA
300022,2009-12-01,3000222009,0,99,99,99,99,38.4,1702023,99.0,99,24.0,1102019,KA
300022,2010-12-01,3000222010,0,99,99,99,99,38.8,1102021,99.0,99,23.0,1102021,KA
300022,2011-12-01,3000222011,0,99,99,99,99,39.1,1102021,99.0,99,23.0,1102021,KA
300022,2012-12-01,3000222012,0,99,99,99,99,39.0,1102021,99.0,99,22.0,1102021,KA
300022,2013-12-01,3000222013,0,99,99,99,99,38.0,1102021,99.0,99,22.0,1102021,KA
300022,2014-12-01,3000222014,0,99,99,99,99,37.5,1102021,99.0,99,20.0,1102021,KA
300022,2015-12-01,3000222015,0,99,99,99,99,37.6,1102021,99.0,99,21.0,1102021,KA
300022,2016-12-01,3000222016,0,99,99,99,99,37.9,1102021,99.0,99,21.0,1102021,KA
300022,2017-12-01,3000222017,0,99,99,99,99,38.7,1102021,99.0,99,20.6,1102021,KA
300022,2018-12-01,3000222018,0,99,99,99,99,37.8,1102021,99.0,99,19.3,1102021,KA
300022,2019-12-01,3000222019,0,99,99,99,99,39.1,1102021,99.0,99,19.8,1102021,KA
300022,2020-12-01,3000222020,0,99,99,99,99,43.7,1102021,99.0,99,22.0,1102021,KA
300022,2021-12-01,3000222021,0,99,99,99,99,43.1,1102021,99.0,99,22.1,1102021,KA
300022,2022-12-01,3000222022,0,99,99,99,99,40.2,1702022,99.0,99,21.4,1702022,KA
300022,2023-12-01,3000222023,0,99,99,99,99,37.6,1702023,99.0,99,21.0,1702023,KA
300030,1997-12-01,3000301997,0,99,99,99,99,99.0,99,99.0,99,99.0,99,KA
300030,1998-12-01,3000301998,0,99,99,99,99,99.0,99,99.0,99,99.0,99,KA
300030,1999-12-01,3000301999,0,99,99,99,99,99.0,99,99.0,99,99.0,99,KA
